
--- TEST PSYNC PRINT STAT ---
stat: 74 64 21 2 25
stat: 74 64 21 3 50
stat: 74 64 21 1 75
stat: 75 64 21 2 25
stat: 75 64 21 2.46875 50
stat: 75 64 21 1 75
stat: 76 64 21 2 25
stat: 76 64 21 2.53125 50
stat: 76 64 21 1 75
stat: 77 64 21 2 25
stat: 77 64 21 3 50
stat: 77 64 21 1 75
stat: 78 64 21 2 25
stat: 78 64 21 3 50
stat: 78 64 21 1 75
stat: 79 64 21 2 25
stat: 79 64 21 2.5 50
stat: 79 64 21 1 75
stat: 80 64 21 2 25
stat: 80 64 21 2.59375 50
stat: 80 64 21 1 75
stat: 81 64 21 2 25
stat: 81 64 21 2.5 50
stat: 81 64 21 1 75
stat: 82 64 21 2 25
stat: 82 64 21 3 50
stat: 82 64 21 1 75
stat: 83 64 21 2 25
stat: 83 64 21 1 50
stat: 83 64 21 1 75
stat: 84 64 21 2 25
stat: 84 64 21 2.375 50
stat: 84 64 21 1 75
stat: 85 64 21 2 25
stat: 85 64 21 2.65625 50
stat: 85 64 21 1 75
stat: 86 64 21 2 25
stat: 86 64 21 3 50
stat: 86 64 21 1 75
stat: 87 64 21 2 25
stat: 87 64 21 3 50
stat: 87 64 21 1 75
stat: 88 64 21 2 25
stat: 88 64 21 1 50
stat: 88 64 21 1 75
stat: 89 64 21 2 25
stat: 89 64 21 2 50
stat: 89 64 21 1 75
stat: 90 64 21 2 25
stat: 90 64 21 1 50
stat: 90 64 21 1 75
stat: 91 64 21 2 25
stat: 91 64 21 2.78125 50
stat: 91 64 21 1 75
stat: 92 64 21 2 25
stat: 92 64 21 3 50
stat: 92 64 21 1 75
stat: 93 64 21 2 25
stat: 93 64 21 1 50
stat: 93 64 21 1 75
stat: 94 64 21 2 25
stat: 94 64 21 2.53125 50
stat: 94 64 21 1 75
stat: 95 64 21 2 25
stat: 95 64 21 2.5625 50
stat: 95 64 21 1 75
stat: 96 64 21 2 25
stat: 96 64 21 2.46875 50
stat: 96 64 21 1 75
stat: 97 64 21 2 25
stat: 97 64 21 2 50
stat: 97 64 21 1 75
stat: 98 64 21 2 25
stat: 98 64 21 1 50
stat: 98 64 21 1 75
stat: 99 64 21 2 25
stat: 99 64 21 1 50
stat: 99 64 21 1 75
stat: 100 64 21 2 25
stat: 100 64 21 2.78125 50
stat: 100 64 21 1 75
stat: 101 64 21 2 25
stat: 101 64 21 3 50
stat: 101 64 21 1 75
stat: 102 64 21 2 25
stat: 102 64 21 3 50
stat: 102 64 21 1 75
stat: 103 64 21 2 25
stat: 103 64 21 2.71875 50
stat: 103 64 21 1 75
stat: 104 64 21 2 25
stat: 104 64 21 2.4375 50
stat: 104 64 21 1 75
stat: 105 64 21 2 25
stat: 105 64 21 2.96875 50
stat: 105 64 21 1 75
stat: 106 64 21 2 25
stat: 106 64 21 2.5625 50
stat: 106 64 21 1 75
stat: 107 64 21 2 25
stat: 107 64 21 2.8125 50
stat: 107 64 21 1 75
stat: 108 64 21 2 25
stat: 108 64 21 2.53125 50
stat: 108 64 21 1 75
stat: 109 64 21 2 25
stat: 109 64 21 2.46875 50
stat: 109 64 21 1 75
stat: 110 64 21 2 25
stat: 110 64 21 2.625 50
stat: 110 64 21 1 75
stat: 111 64 21 2 25
stat: 111 64 21 1 50
stat: 111 64 21 1 75
stat: 112 64 21 2 25
stat: 112 64 21 2.59375 50
stat: 112 64 21 1 75
stat: 113 64 21 2 25
stat: 113 64 21 2.6875 50
stat: 113 64 21 1 75
stat: 114 64 21 2 25
stat: 114 64 21 3 50
stat: 114 64 21 1 75
stat: 115 64 21 2 25
stat: 115 64 21 3 50
stat: 115 64 21 1 75
stat: 116 64 21 2 25
stat: 116 64 21 2.625 50
stat: 116 64 21 1 75
stat: 117 64 21 2 25
stat: 117 64 21 2.71875 50
stat: 117 64 21 1 75
stat: 118 64 21 2 25
stat: 118 64 21 2.40625 50
stat: 118 64 21 1 75
stat: 119 64 21 2 25
stat: 119 64 21 2.3125 50
stat: 119 64 21 1 75
stat: 120 64 21 2 25
stat: 120 64 21 2.375 50
stat: 120 64 21 1 75
stat: 121 64 21 2 25
stat: 121 64 21 2.6875 50
stat: 121 64 21 1 75
stat: 122 64 21 2 25
stat: 122 64 21 3 50
stat: 122 64 21 1 75
stat: 123 64 21 2 25
stat: 123 64 21 2.46875 50
stat: 123 64 21 1 75
stat: 124 64 21 2 25
stat: 124 64 21 2.34375 50
stat: 124 64 21 1 75
stat: 125 64 21 2 25
stat: 125 64 21 1 50
stat: 125 64 21 1 75
stat: 126 64 21 2 25
stat: 126 64 21 2.40625 50
stat: 126 64 21 1 75
stat: 127 64 21 2 25
stat: 127 64 21 2 50
stat: 127 64 21 1 75
stat: 128 64 21 2 25
stat: 128 64 21 3 50
stat: 128 64 21 1 75
stat: 129 64 21 2 25
stat: 129 64 21 1 50
stat: 129 64 21 1 75
stat: 130 64 21 2 25
stat: 130 64 21 2.5625 50
stat: 130 64 21 1 75
stat: 131 64 21 2 25
stat: 131 64 21 2.625 50
stat: 131 64 21 1 75
stat: 132 64 21 2 25
stat: 132 64 21 3 50
stat: 132 64 21 1 75
stat: 133 64 21 2 25
stat: 133 64 21 2.53125 50
stat: 133 64 21 1 75
stat: 134 64 21 2 25
stat: 134 64 21 2.28125 50
stat: 134 64 21 1 75
stat: 135 64 21 2 25
stat: 135 64 21 2.71875 50
stat: 135 64 21 1 75
stat: 136 64 21 2 25
stat: 136 64 21 2.46875 50
stat: 136 64 21 1 75
stat: 137 64 21 2 25
stat: 137 64 21 3 50
stat: 137 64 21 1 75
stat: 138 64 21 2 25
stat: 138 64 21 2.4375 50
stat: 138 64 21 1 75
stat: 139 64 21 2 25
stat: 139 64 21 2.1875 50
stat: 139 64 21 1 75
stat: 140 64 21 2 25
stat: 140 64 21 2 50
stat: 140 64 21 1 75
stat: 141 64 21 2 25
stat: 141 64 21 2.53125 50
stat: 141 64 21 1 75
stat: 142 64 21 2 25
stat: 142 64 21 1 50
stat: 142 64 21 1 75
stat: 143 64 21 2 25
stat: 143 64 21 2.46875 50
stat: 143 64 21 1 75
stat: 144 64 21 2 25
stat: 144 64 21 2.59375 50
stat: 144 64 21 1 75
stat: 145 64 21 2 25
stat: 145 64 21 2.5 50
stat: 145 64 21 1 75
stat: 146 64 21 2 25
stat: 146 64 21 2.53125 50
stat: 146 64 21 1 75
stat: 147 64 21 2 25
stat: 147 64 21 2.4375 50
stat: 147 64 21 1 75
stat: 148 64 21 2 25
stat: 148 64 21 2.625 50
stat: 148 64 21 1 75
stat: 149 64 21 2 25
stat: 149 64 21 1 50
stat: 149 64 21 1 75
stat: 150 64 21 2 25
stat: 150 64 21 1 50
stat: 150 64 21 1 75
stat: 151 64 21 2 25
stat: 151 64 21 1 50
stat: 151 64 21 1 75
stat: 152 64 21 2 25
stat: 152 64 21 2.46875 50
stat: 152 64 21 1 75
stat: 153 64 21 2 25
stat: 153 64 21 3 50
stat: 153 64 21 1 75
stat: 154 64 21 2 25
stat: 154 64 21 2.4375 50
stat: 154 64 21 1 75
stat: 155 64 21 2 25
stat: 155 64 21 3 50
stat: 155 64 21 1 75
stat: 156 64 21 2 25
stat: 156 64 21 2.78125 50
stat: 156 64 21 1 75
stat: 157 64 21 2 25
stat: 157 64 21 2.71875 50
stat: 157 64 21 1 75
stat: 158 64 21 2 25
stat: 158 64 21 2.6875 50
stat: 158 64 21 1 75
stat: 159 64 21 2 25
